Project_ID,Project_counties,Is_TIA_project,Contractor_name,TPRO_PROJ_COMPLETE_DT,Project_description,TIME_STOPPED_DATE,SUBSTL_WORK_COMPL_DATE,CONSTRUCTION_STATUS_DERIVED,Last_refresh,Project_URL,DISTRICT
0020398,Fulton,No,,,Old Alabama Road @ Johns Creek & @ Johns Creek Trib,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020398,7
0020429,Berrien,Yes,,,Smith Ave From SR 11/US 129 To Edgewood Street - TIA,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020429,8
0020436,Brantley,Yes,,,Britt Still Road From SR 23 To Caney Bay Road - TIA,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020436,1
0020447,Brooks,Yes,,,SR 333 @ Brooks County Middle School/Quitman Elementary-TIA,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020447,8
0020501,Cook,Yes,,,Cox Still Road From SR 37 To NE Of SR 37 - TIA,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020501,8
0020502,Cook,Yes,,,Mitchell Street From SR 7 To Parrish Ave - TIA,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020502,8
0020503,Cook,Yes,,,SR 37 @ SR 76 - TIA,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020503,8
0020504,Cook,Yes,,,SR 7/US 41 @ Old Quitman Road - TIA,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020504,8
0020512,Echols,Yes,,,SR 94 @ SR 135 - TIA,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020512,8
0020529,Lowndes,Yes,,,Val Del Road From SR 7 To Mcmillan Road - TIA,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020529,8
0020782,Catoosa,No,,,Battlefield Pkwy Trail Extension & Foot Bridge,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020782,14
0020789,Decatur,No,,,SR 38/US 84 @ SR 1/US 27 - Ddi,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020789,2
