ID,URL,County,Desc_short,Status,District,Cost_estimate,Desc_long,Manager,Type
0000293,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000293,Atkinson,SR 206 From SR 32 In Douglas To CR 143/Moseley Road,PRE-CONSTRUCTION,8,46196838.87,No description.,Albert V. Shelby III,Reconstruction/Rehabilitation
0000296,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000296,Dawson,SR 52: Two Wb Passing Lanes Bt Gilmer And Lumpkin Counties,PRE-CONSTRUCTION,7,38221734.08,No description.,Albert V. Shelby III,Reconstruction/Rehabilitation
0000297,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000297,Upson,US 19/SR 3 - Widening & Reconstr,COMPLETED-CONSTRUCTION,3,34881555.61,"This project proposes to widen the 4-lanes of US 19 to make them 12'. It also proposes to add a raised median. The project begins at the intersection of US 19 and County Road and ends at the intersection of US 19 and Atwater Road approximately 2 miles north of Thomaston. Also, as part of this project, Delray road will be realigned to intersect with US 19 and Jimmerson Road. A signal will be added at this location.",Jason W. Mobley,Reconstruction/Rehabilitation
0000309,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000309,Chattooga,SR 48 Eb From Mp .75 - 1.55/ Wb From Mp 3.00 - 4.10,PRE-CONSTRUCTION,14,3794850.62,No description.,Albert V. Shelby III,Reconstruction/Rehabilitation
0000315,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000315,Dawson,SR 52 - Construction Of Roundabout,COMPLETED-CONSTRUCTION,7,4051270.76,SR 52 Relocation at the SR 183 Extension intersection safety improvement project was recommended by GDOT District One and was initially proposed due to poor sight distance and poor horizontal alignment at the existing intersection.,David B. Lott,Reconstruction/Rehabilitation
0000316,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000316,Dawson,SR 52 Horizontal Correction @ Mp 6.4 To 6.6,PRE-CONSTRUCTION,7,1181030.16,No description.,Albert V. Shelby III,Reconstruction/Rehabilitation
0000397,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000397,Bartow,SR 3/US 41 @ CR 1097 & CR 397 - Relocate Intersection,PRE-CONSTRUCTION,11,817000.0,This project is to relocate the intersection of Old S.R. 293 and to add left and right turn lanes at the intersection with County Road 397.This is an Intersection Improvement Project.,Albert V. Shelby III,Reconstruction/Rehabilitation
0000402,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000402,Jackson,SR 15 Alt Eb & Wb Passing Lanes Bt Commerce & Jefferson,PRE-CONSTRUCTION,9,24850946.92,No description.,Albert V. Shelby III,Reconstruction/Rehabilitation
0000405,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000405,"Houston , Peach",SR 7/US 341 From SR 96/Peach To 4-Ln/Houston & Part New Loc,PRE-CONSTRUCTION,2,54351253.0,No description.,Albert V. Shelby III,Reconstruction/Rehabilitation
0000406,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000406,"Floyd , Polk",SR 101 From SR 6/US 278/Polk To CR 57/Pleasant Hope Ch./Floyd,PRE-CONSTRUCTION,14,96463831.19,No description.,Albert V. Shelby III,Reconstruction/Rehabilitation
0000411,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000411,Walton,SR 83 Conn - Construction Of Alt Conn,UNDER-CONSTRUCTION,10,44986115.03,"This project is to construct a new location, 4.7-mile connector that would provide a bypass around the historic downtown City of Monroe. The connector would tie into the existing intersection of James Huff Road and SR 10/US 78. The proposed typical section along the SR 83 Connector would consist of two 12-foot lanes (one travel lane in each direction) with 10-foot outside shoulders (6.5 feet paved). At intersection locations, single 12-foot right and left-turn lanes would be provided. The existing segment of SR 83 would remain as a two-lane roadway for approximately 0.73 miles from SR 83 at SR 83 Connector and would remain as a four-lane roadway with 12-foot travel lanes with a combination of a raised and depressed median for approximately 0.48 miles leading to SR 83 at SR 10/US 78.",Oluchukwu Eziogonnaya Anyaebosi,New Construction
0000414,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000414,"Newton , Rockdale , Walton",SR 138 From Miller Bottom RD To SR 10/US 78,PRE-CONSTRUCTION,10,115778027.7,No description.,Albert V. Shelby III,Reconstruction/Rehabilitation
0000415,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000415,Walton,SR 10/US 78 From Gwinnett County Line To SR 10Bu In Monroe,PRE-CONSTRUCTION,10,151540345.8,No description.,Albert V. Shelby III,Reconstruction/Rehabilitation
0000416,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000416,"Rockdale , Walton",SR 20 From Sharon Church RD/Walton To Pleasant Hill RD/Rockdle,PRE-CONSTRUCTION,13,69886390.02,No description.,Albert V. Shelby III,Reconstruction/Rehabilitation
0000419,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000419,Walton,Vine Street From SR 11 To SR 10/US 78; Inc New Loc,PRE-CONSTRUCTION,10,30897617.43,No description.,Albert V. Shelby III,Reconstruction/Rehabilitation
0000420,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000420,Walton,CR 455/Jersey-Monroe RD From Youth Jersey RD To SR 11,PRE-CONSTRUCTION,10,71395734.75,No description.,Albert V. Shelby III,Reconstruction/Rehabilitation
0000473,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000473,Dougherty,SR 133 - Construction Of A Bridge,UNDER-CONSTRUCTION,2,73296743.13,Project PI Number 0000473 widens the existing SR 133 to a four lane median divided roadway with turning lanes at intersections from North of CR 459/ County Line Road to North of CR 540/Holly Drive for a distance of 8.11 miles.,Robert Lester Johnson,Reconstruction/Rehabilitation
0000475,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000475,"Dougherty , Worth",SR 133 - Widening & Reconst,UNDER-CONSTRUCTION,2,37541660.8,Project PI Number 0000475 widens the existing SR 133 to a four lane median divided roadway with turning lanes at intersections from North of SR 112 to North of CR 459/County Line Road for a distance of 3.47 miles.,Robert Lester Johnson,Reconstruction/Rehabilitation
0000477,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000477,"Columbia , Lincoln",SR 47 From Pollards Corner/Columbia To Lincolnton/Lincoln,PRE-CONSTRUCTION,12,177339296.4,No description.,Albert V. Shelby III,Reconstruction/Rehabilitation
0000519,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000519,Worth,SR 133 -  Widening,UNDER-CONSTRUCTION,8,60382251.82,Project PI Number 0000519 widens the existing SR 133 to a four lane median divided roadway with turning lanes at intersections from North of the Colquitt County line to North of SR 112 for a distance of 6.49 miles,Robert Lester Johnson,Reconstruction/Rehabilitation
0000520,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000520,Colquitt,SR 133 - Bridge Rehab,UNDER-CONSTRUCTION,8,88254990.05,Project PI Number 0000520 widens the existing SR 133 to a four lane median divided roadway with turning lanes at intersections from South of SR 35/US 319 to North of the Colquitt County line for a distance of 13.87 miles.,Robert Lester Johnson,Reconstruction/Rehabilitation
0000534,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000534,Bartow,SR 293 @ SR 3,PRE-CONSTRUCTION,11,685000.0,No description.,Albert V. Shelby III,Reconstruction/Rehabilitation
0000562,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000562,Henry,CR 650/Bill Gardner Pkwy From SR 155 To I-75 - Phase I,PRE-CONSTRUCTION,10,20213000.0,No description.,Albert V. Shelby III,Reconstruction/Rehabilitation
0000716,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000716,Clayton,Hartsfield Airport: Reloc SR 139/Riverdale & SR 314/W. Fayet,UNDER-CONSTRUCTION,5,0.0,No description.,Glenn S Bowman,Reconstruction/Rehabilitation
0000821,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000821,Charlton,SR 40 From SR 40 Conn To 0.36 MI E Of CR 82/May Bluff RD - TIA,PRE-CONSTRUCTION,1,17913767.1,"State Route (SR 40) is a major east-west corridor in southeast Georgia, connecting Folkston on the west with Kingsland, Interstate 95, and St. MaryÂ¿s on the east. At mile post (MP) 0.63 near the SR 40 Connector intersection with SR 40 the project would widen SR 40 from a two-lane to a five-lane rural section and then transition to a four-lane divided highway with a 24-foot raised median at mile post 1.51. The four-lane section would extend eastward to Mile Post 2.54 (northeast of CR 82) in Charlton County for a total project length of 1.91 miles. One Box Bridge Culvert identified as bridge # 049-0027-0 will be lengthened.",Cassius Octavius Edwards,Reconstruction/Rehabilitation
0000932,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000932,Bartow,I-75 Upgrades @ SR 61,PRE-CONSTRUCTION,11,2800000.0,No description.,Albert V. Shelby III,Reconstruction/Rehabilitation
0001040,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001040,Jones,SR 44 From Gray Bypass To CR 104/Mathis Road,PRE-CONSTRUCTION,8,52615020.92,No description.,Albert V. Shelby III,Reconstruction/Rehabilitation
0001042,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001042,Irwin,SR 32 Reloc/NE Ocilla Bypass Between SR 32 And SR 11,PRE-CONSTRUCTION,8,23300000.0,No description.,Albert V. Shelby III,New Construction
0001043,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001043,Irwin,SR 32 Reloc/NW Ocilla Bypass Between SR 35 And SR 11,PRE-CONSTRUCTION,8,15200000.0,No description.,Albert V. Shelby III,New Construction
0001044,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001044,"Irwin , Tift",SR 35 From SR 520/Tift To SR 32/Irwin,PRE-CONSTRUCTION,8,100293435.2,No description.,Albert V. Shelby III,Reconstruction/Rehabilitation
0001047,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001047,Madison,SR 98 Passing Lanes @ 2 Locations Between SR 8 And SR 172,PRE-CONSTRUCTION,10,21008113.6,No description.,Albert V. Shelby III,Reconstruction/Rehabilitation
0001096,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001096,Henry,Mcdonough Pkwy Ext From Jonesboro RD To SR 42/US 23 Ph 1-GRTA,UNDER-CONSTRUCTION,10,4224484.0,"This project comprises the McDonough Parkway extension from the intersection of the existing McDonough Parkway with Jonesboro Road continuing northeasterly on new location to U.S. 23/S.R. 42. The length of the proposed extension is 1.2 miles. This project will complete a connection of S.R. 20/81 west of McDonough to S.R. 42 north of McDonough with traffic on S.R.20/81 or Jonesboro Road. This project, in conjunction with the existing McDonough Parkway, will provide a west bypass of McDonough. McDonough Parkway Extension will taper from the current 3 lanes at the existing McDonough Parkway to 2 lanes and maintain 2 lanes for approximately 4000 feet. Just prior to intersecting Ivey Edwards Lane, it tapers back to 3 lanes. From its intersection with Ivey Edwards Lane to the end of the project at U.S.23 /S.R. 42, it will become a four lane divided roadway with a 20 foot wide raised median. A bridge will be constructed over Norfolk Southern Railroad. The speed design will be 35 mph.",Michael B. McManus,New Construction
0001322,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001322,All Counties,Passenger Rail Macon To Albany - Phase 1,PRE-CONSTRUCTION,1,35000000.0,No description.,Harvey D. Keepler,Capital
0001323,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001323,All Counties,Passenger Rail Macon To Albany - Phase 2,PRE-CONSTRUCTION,1,40000000.0,No description.,Harvey D. Keepler,Capital
0001324,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001324,All Counties,Passenger Rail Macon To Albany - Phase 3,PRE-CONSTRUCTION,1,25000000.0,No description.,Harvey D. Keepler,Capital
0001325,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001325,All Counties,Passenger Rail Macon To Savannah - Phase 1,PRE-CONSTRUCTION,1,50000000.0,No description.,Harvey D. Keepler,Capital
0001327,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001327,All Counties,Passenger Rail Macon To Savannah - Phase 2,PRE-CONSTRUCTION,1,83000000.0,No description.,Harvey D. Keepler,Capital
0001328,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001328,All Counties,Passenger Rail Macon To Savannah - Phase 3,PRE-CONSTRUCTION,1,32000000.0,No description.,Harvey D. Keepler,Capital
0001333,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001333,All Counties,Commuter Rail Atlanta To Bremen - Phase 1,PRE-CONSTRUCTION,1,295200000.0,No description.,Harold M Wilson Jr,Capital
0001334,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001334,All Counties,Commuter Rail Atlanta To Senoia - Phase 1,PRE-CONSTRUCTION,1,188800000.0,No description.,Harvey D. Keepler,Capital
0001339,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001339,"Crawford , Lamar",SR 7/US 341 Passing Lanes @ 5 Locations Crawford& Lamar Co.,PRE-CONSTRUCTION,2,18479286.0,No description.,Albert V. Shelby III,Reconstruction/Rehabilitation
