ID,URL,County,Desc_short,Status
0000293,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000293,Atkinson,SR 206 From SR 32 In Douglas To CR 143/Moseley Road,PRE-CONSTRUCTION
0000296,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000296,Dawson,SR 52: Two Wb Passing Lanes Bt Gilmer And Lumpkin Counties,PRE-CONSTRUCTION
0000297,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000297,Upson,US 19/SR 3 - Widening & Reconstr,COMPLETED-CONSTRUCTION
0000309,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000309,Chattooga,SR 48 Eb From Mp .75 - 1.55/ Wb From Mp 3.00 - 4.10,PRE-CONSTRUCTION
0000315,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000315,Dawson,SR 52 - Construction Of Roundabout,COMPLETED-CONSTRUCTION
0000316,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000316,Dawson,SR 52 Horizontal Correction @ Mp 6.4 To 6.6,PRE-CONSTRUCTION
0000397,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000397,Bartow,SR 3/US 41 @ CR 1097 & CR 397 - Relocate Intersection,PRE-CONSTRUCTION
0000402,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000402,Jackson,SR 15 Alt Eb & Wb Passing Lanes Bt Commerce & Jefferson,PRE-CONSTRUCTION
0000405,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000405,"Houston , Peach",SR 7/US 341 From SR 96/Peach To 4-Ln/Houston & Part New Loc,PRE-CONSTRUCTION
0000406,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000406,"Floyd , Polk",SR 101 From SR 6/US 278/Polk To CR 57/Pleasant Hope Ch./Floyd,PRE-CONSTRUCTION
0000411,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000411,Walton,SR 83 Conn - Construction Of Alt Conn,UNDER-CONSTRUCTION
0000414,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000414,"Newton , Rockdale , Walton",SR 138 From Miller Bottom RD To SR 10/US 78,PRE-CONSTRUCTION
0000415,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000415,Walton,SR 10/US 78 From Gwinnett County Line To SR 10Bu In Monroe,PRE-CONSTRUCTION
0000416,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000416,"Rockdale , Walton",SR 20 From Sharon Church RD/Walton To Pleasant Hill RD/Rockdle,PRE-CONSTRUCTION
0000419,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000419,Walton,Vine Street From SR 11 To SR 10/US 78; Inc New Loc,PRE-CONSTRUCTION
0000420,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000420,Walton,CR 455/Jersey-Monroe RD From Youth Jersey RD To SR 11,PRE-CONSTRUCTION
0000473,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000473,Dougherty,SR 133 - Construction Of A Bridge,UNDER-CONSTRUCTION
0000475,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000475,"Dougherty , Worth",SR 133 - Widening & Reconst,UNDER-CONSTRUCTION
0000477,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000477,"Columbia , Lincoln",SR 47 From Pollards Corner/Columbia To Lincolnton/Lincoln,PRE-CONSTRUCTION
0000519,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000519,Worth,SR 133 -  Widening,UNDER-CONSTRUCTION
0000520,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000520,Colquitt,SR 133 - Bridge Rehab,UNDER-CONSTRUCTION
0000534,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000534,Bartow,SR 293 @ SR 3,PRE-CONSTRUCTION
0000562,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000562,Henry,CR 650/Bill Gardner Pkwy From SR 155 To I-75 - Phase I,PRE-CONSTRUCTION
0000716,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000716,Clayton,Hartsfield Airport: Reloc SR 139/Riverdale & SR 314/W. Fayet,UNDER-CONSTRUCTION
0000821,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000821,Charlton,SR 40 From SR 40 Conn To 0.36 MI E Of CR 82/May Bluff RD - TIA,PRE-CONSTRUCTION
0000932,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000932,Bartow,I-75 Upgrades @ SR 61,PRE-CONSTRUCTION
