snapshot_date,ID,Status,Cost_estimate,Construction_pct_complete,Payment_pct_complete,Curr_completion_date,Programmed_completion_date,Award_date,Time_stopped_date,Substl_work_compl_date,Is_TIA,Contractor,Last_refresh
2026-05-22,0000197,UNKNOWN,125000.0,,,,,,,,,,
2026-05-22,0000265,COMPLETED-CONSTRUCTION,6086889.85,,,,,,,,,,
2026-05-22,0000293,PRE-CONSTRUCTION,46196838.87,,,,,,,,,,
2026-05-22,0000297,COMPLETED-CONSTRUCTION,34881555.61,,,,,,,,,,
2026-05-22,0000304,COMPLETED-CONSTRUCTION,8223041.0,,,,,,,,,,
2026-05-22,0000305,COMPLETED-CONSTRUCTION,5539684.859999999,,,,,,,,,,
2026-05-22,0000309,PRE-CONSTRUCTION,3794850.62,,,,,,,,,,
2026-05-22,0000315,COMPLETED-CONSTRUCTION,4051270.76,,,,,,,,,,
2026-05-22,0000316,PRE-CONSTRUCTION,1181030.16,,,,,,,,,,
2026-05-22,0000397,PRE-CONSTRUCTION,817000.0,,,,,,,,,,
2026-05-22,0000402,PRE-CONSTRUCTION,24850946.92,,,,,,,,,,
2026-05-22,0000405,PRE-CONSTRUCTION,54351253.0,,,,,,,,,,
2026-05-22,0000406,PRE-CONSTRUCTION,96463831.19,,,,,,,,,,
2026-05-22,0000411,UNDER-CONSTRUCTION,50285917.91,,,,,,,,,,
2026-05-22,0000414,PRE-CONSTRUCTION,115778027.68,,,,,,,,,,
2026-05-22,0000415,PRE-CONSTRUCTION,151540345.78,,,,,,,,,,
2026-05-22,0000416,PRE-CONSTRUCTION,69886390.02,,,,,,,,,,
2026-05-22,0000419,PRE-CONSTRUCTION,30897617.43,,,,,,,,,,
2026-05-22,0000420,PRE-CONSTRUCTION,71395734.75,,,,,,,,,,
2026-05-22,0000425,COMPLETED-CONSTRUCTION,50857474.53,,,,,,,,,,
2026-05-22,0000473,UNDER-CONSTRUCTION,73296743.13,,,,,,,,,,
2026-05-22,0000475,COMPLETED-CONSTRUCTION,37541660.8,,,,,,,,,,
2026-05-22,0000477,PRE-CONSTRUCTION,177339296.44,,,,,,,,,,
2026-05-22,0000519,UNDER-CONSTRUCTION,61891673.94,,,,,,,,,,
2026-05-22,0000520,COMPLETED-CONSTRUCTION,88254990.05,,,,,,,,,,
2026-05-22,0000534,PRE-CONSTRUCTION,685000.0,,,,,,,,,,
2026-05-22,0000544,COMPLETED-CONSTRUCTION,39834479.12,,,,,,,,,,
2026-05-22,0000562,PRE-CONSTRUCTION,20213000.0,,,,,,,,,,
2026-05-22,0000566,COMPLETED-CONSTRUCTION,78514926.94,,,,,,,,,,
2026-05-22,0000716,UNDER-CONSTRUCTION,0.0,,,,,,,,,,
2026-05-22,0000762,COMPLETED-CONSTRUCTION,76076851.52000001,,,,,,,,,,
2026-05-22,0000807,PRE-CONSTRUCTION,0.0,,,,,,,,,,
2026-05-22,0000821,PRE-CONSTRUCTION,18100464.81,,,,,,,,,,
2026-05-22,0000932,PRE-CONSTRUCTION,2800000.0,,,,,,,,,,
2026-05-22,0001040,PRE-CONSTRUCTION,52615020.92,,,,,,,,,,
2026-05-22,0001042,PRE-CONSTRUCTION,23300000.0,,,,,,,,,,
2026-05-22,0001043,PRE-CONSTRUCTION,15200000.0,,,,,,,,,,
2026-05-22,0001044,PRE-CONSTRUCTION,129839328.0,,,,,,,,,,
2026-05-22,0001047,PRE-CONSTRUCTION,21008113.6,,,,,,,,,,
2026-05-22,0001096,UNDER-CONSTRUCTION,4224484.0,,,,,,,,,,
2026-05-22,0001322,PRE-CONSTRUCTION,35000000.0,,,,,,,,,,
2026-05-22,0001323,PRE-CONSTRUCTION,40000000.0,,,,,,,,,,
2026-05-22,0001324,PRE-CONSTRUCTION,25000000.0,,,,,,,,,,
2026-05-22,0001325,PRE-CONSTRUCTION,50000000.0,,,,,,,,,,
2026-05-22,0001327,PRE-CONSTRUCTION,83000000.0,,,,,,,,,,
2026-05-22,0001328,PRE-CONSTRUCTION,32000000.0,,,,,,,,,,
2026-05-22,0001333,PRE-CONSTRUCTION,295200000.0,,,,,,,,,,
2026-05-22,0001334,PRE-CONSTRUCTION,188800000.0,,,,,,,,,,
2026-05-22,0001339,PRE-CONSTRUCTION,18479286.0,,,,,,,,,,
2026-05-22,0001572,COMPLETED-CONSTRUCTION,10994222.0,,,,,,,,,,
2026-05-22,0001757,COMPLETED-CONSTRUCTION,5939974820.26,,,,,,,,,,
2026-05-22,0001809,PRE-CONSTRUCTION,11374554.0,,,,,,,,,,
2026-05-22,0001810,COMPLETED-CONSTRUCTION,8361641.14,,,,,,,,,,
2026-05-22,0001812,COMPLETED-CONSTRUCTION,17690438.0,,,,,,,,,,
2026-05-22,0001815,PRE-CONSTRUCTION,6308000.0,,,,,,,,,,
2026-05-22,0001816,PRE-CONSTRUCTION,6308000.0,,,,,,,,,,
2026-05-22,0001817,COMPLETED-CONSTRUCTION,61687379.93,,,,,,,,,,
2026-05-22,0001820,PRE-CONSTRUCTION,4470333.9799999995,,,,,,,,,,
