ID,URL,Desc_short,Status,Description
0000197,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000197,East Point - Main Street Streetscape,UNKNOWN,
0000265,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000265,Ca - CR 1330/Hardscrabble RD From King RD To,COMPLETED-CONSTRUCTION,"The City of Roswell is sponsoring this federally funded project for the construction of this portion of the Roswell Green Loop Path. This Phase 1 portion proposes the addition of a multi-use path between King Road and Etris Road. Sidewalks, pedestrian crossing, bike lanes, and some intersection improvements will be studied, in addition to the multi-use path. "
0000293,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000293,SR 206 From SR 32 In Douglas To CR 143/Moseley Road,PRE-CONSTRUCTION,
0000297,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000297,US 19/SR 3 - Widening & Reconstr,COMPLETED-CONSTRUCTION,"This project proposes to widen the 4-lanes of US 19 to make them 12'. It also proposes to add a raised median. The project begins at the intersection of US 19 and County Road and ends at the intersection of US 19 and Atwater Road approximately 2 miles north of Thomaston. Also, as part of this project, Delray road will be realigned to intersect with US 19 and Jimmerson Road. A signal will be added at this location."
0000304,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000304,SR 66 - Bridge Replacement,COMPLETED-CONSTRUCTION,This project consists of replacing a structurally deficient and obsolete two lane bridge. The proposed structure is 44' wide and 120' long. The centerline of the proposed roadway will be relocated to the east of the existing roadway utilizing the existing roadway during construction. The existing bridge will be removed after traffic is shifted to the new roadway. The existing roadway on the northwest side of the old bridge will be converted into recreational parking as per an agreement with GA DNR.
0000305,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000305,SR 66 - Bridge Replacement,COMPLETED-CONSTRUCTION,"The project will replace an existing structurally deficient two lane bridge on SR 66 at Crooked Creek, approximately 3.2 miles northwest of Young Harris, Georgia. The project begins approximately 1,383' south of Crooked Creek crossing and ends approximately 1,017' north of Crooked Creek crossing. The construction proposes replacing the existing 120' long by 27.5' wide bridge with a 180' long by 40' wide concrete bridge. The proposed bridge will be constructed approximately 30 feet west of the existing bridge site. Traffic will be maintained during construction of the new bridge and approaches utilizing stage construction. The project total length is 0.45 miles and is located in Land Lots 30 and 43 in Land District 17."
0000309,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000309,SR 48 Eb From Mp .75 - 1.55/ Wb From Mp 3.00 - 4.10,PRE-CONSTRUCTION,
0000315,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000315,SR 52 - Construction Of Roundabout,COMPLETED-CONSTRUCTION,SR 52 Relocation at the SR 183 Extension intersection safety improvement project was recommended by GDOT District One and was initially proposed due to poor sight distance and poor horizontal alignment at the existing intersection. 
0000316,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000316,SR 52 Horizontal Correction @ Mp 6.4 To 6.6,PRE-CONSTRUCTION,
0000397,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000397,SR 3/US 41 @ CR 1097 & CR 397 - Relocate Intersection,PRE-CONSTRUCTION,This project is to relocate the intersection of Old S.R. 293 and to add left and right turn lanes at the intersection with County Road 397.This is an Intersection Improvement Project.
0000402,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000402,SR 15 Alt Eb & Wb Passing Lanes Bt Commerce & Jefferson,PRE-CONSTRUCTION,
0000405,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000405,SR 7/US 341 From SR 96/Peach To 4-Ln/Houston & Part New Loc,PRE-CONSTRUCTION,
0000406,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000406,SR 101 From SR 6/US 278/Polk To CR 57/Pleasant Hope Ch./Floyd,PRE-CONSTRUCTION,
0000411,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000411,SR 83 Conn - Construction Of Alt Conn,UNDER-CONSTRUCTION,"This project is to construct a new location, 4.7-mile connector that would provide a bypass around the historic downtown City of Monroe. The connector would tie into the existing intersection of James Huff Road and SR 10/US 78. The proposed typical section along the SR 83 Connector would consist of two 12-foot lanes (one travel lane in each direction) with 10-foot outside shoulders (6.5 feet paved). At intersection locations, single 12-foot right and left-turn lanes would be provided. The existing segment of SR 83 would remain as a two-lane roadway for approximately 0.73 miles from SR 83 at SR 83 Connector and would remain as a four-lane roadway with 12-foot travel lanes with a combination of a raised and depressed median for approximately 0.48 miles leading to SR 83 at SR 10/US 78."
0000414,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000414,SR 138 From Miller Bottom RD To SR 10/US 78,PRE-CONSTRUCTION,
0000415,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000415,SR 10/US 78 From Gwinnett County Line To SR 10Bu In Monroe,PRE-CONSTRUCTION,
0000416,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000416,SR 20 From Sharon Church RD/Walton To Pleasant Hill RD/Rockdle,PRE-CONSTRUCTION,
0000419,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000419,Vine Street From SR 11 To SR 10/US 78; Inc New Loc,PRE-CONSTRUCTION,
0000420,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000420,CR 455/Jersey-Monroe RD From Youth Jersey RD To SR 11,PRE-CONSTRUCTION,
0000425,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000425,I-985/SR 13 - Interchange Construction,COMPLETED-CONSTRUCTION,"This project  will provide a new diamond interchange on 1-985 near Martin  Road  between  Exit No.  12 (Spout Springs Road/City of Flowery  Branch) and  Exit No. 16 (S. R. 53/City  of Oakwood).  A four lane roadway  section divided with a 24-32 ft. variable width raised median on a new  location  will  connect H. F.  Reed Industrial Parkway  at Thurmon Tanner  Parkway on the west side of 1-985 and Martin  Road at SR 13 (Falcon Parkway) on the east side of 1-985. The four lane road section will also include 4 ft. bike lanes on each side, 12 ft. urban shoulders, curb and gutter and 5 ft. sidewalk.  "
0000473,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000473,SR 133 - Construction Of A Bridge,UNDER-CONSTRUCTION,Project PI Number 0000473 widens the existing SR 133 to a four lane median divided roadway with turning lanes at intersections from North of CR 459/ County Line Road to North of CR 540/Holly Drive for a distance of 8.11 miles.
0000475,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000475,SR 133 - Widening & Reconst,COMPLETED-CONSTRUCTION,Project PI Number 0000475 widens the existing SR 133 to a four lane median divided roadway with turning lanes at intersections from North of SR 112 to North of CR 459/County Line Road for a distance of 3.47 miles.
0000477,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000477,SR 47 From Pollards Corner/Columbia To Lincolnton/Lincoln,PRE-CONSTRUCTION,
0000519,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000519,SR 133 -  Widening,UNDER-CONSTRUCTION,Project PI Number 0000519 widens the existing SR 133 to a four lane median divided roadway with turning lanes at intersections from North of the Colquitt County line to North of SR 112 for a distance of 6.49 miles
0000520,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000520,SR 133 - Bridge Rehab,COMPLETED-CONSTRUCTION,Project PI Number 0000520 widens the existing SR 133 to a four lane median divided roadway with turning lanes at intersections from South of SR 35/US 319 to North of the Colquitt County line for a distance of 13.87 miles.
0000534,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000534,SR 293 @ SR 3,PRE-CONSTRUCTION,
0000544,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000544,SR 133 - Widening & Rcns,COMPLETED-CONSTRUCTION,"This project is the widening and reconstruction  of S.R. 133 from C.R. 10/Pauline Church Road (Brooks County Mile Post 7.29), where it ties to Project STP00-0000-00(543),  to Old Quitman Adel Road/ C.R. 1 (Brooks County Mile Post 12.72) The total project length is 5.43 miles. STP00-0000-00(544) in Brooks County is proposed to improve 5.43 miles of  where it ties to Project STP00-0000-00(545). Improvements consist of widening the existing two-lane S.R. 133 to a four-lane roadway with turn lanes as needed. The roadway median type of the typical section was revised a 14¿ flush two-way center turn lane with 12¿ outside urban shoulders, and the 32¿ depressed median.State Route 133 is a major north-south corridor and is part of the Governor's Road Improvement Program (GRIP)."
0000562,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000562,CR 650/Bill Gardner Pkwy From SR 155 To I-75 - Phase I,PRE-CONSTRUCTION,
0000566,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000566,Sardis Church RD - Widening & Rcns,COMPLETED-CONSTRUCTION,"The project begins approximately 1100' east of Skipper Road where it ties into the I-75/Sardis Church Rd Interchange Project, NH-75-1(246).  The project will construct a 4-lane, divided east-west connector between Skipper Rd and SR 247/US 129 (20-ft raised, concrete median, 4-ft bike lanes, curb and gutter and 5-ft sidewalks on both sides of the roadway).  The project widens existing Sardis Church Rd from 1100' east of Skipper Rd east approx. 0.85 miles, turns south on new location for 3.8 miles, and connects to existing Avondale Mill Rd at the southwest corner of the airport.  Avondale Mill Rd will be widened to match the typical section referenced above for the remaining 1.7 miles of the project  A trumpet interchange will be constructed at the existing intersection of Avondale Mill Rd with SR 247/US 129 to accommodate the projected heavy northbound SR 247/US 129 to westbound Avondale Mill Rd afternoon traffic.  The total length of the project is 6.3 miles.  SPLOST Project MCN-L25."
0000716,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000716,Hartsfield Airport: Reloc SR 139/Riverdale & SR 314/W. Fayet,UNDER-CONSTRUCTION,
0000762,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000762,I-75/SR 401 - Interchange Improvements,COMPLETED-CONSTRUCTION,"The I-75/SR7 (Shiloh Road/North Valdosta Road) interchange reconstruction begins on Shiloh Road just east of the Frank¿s Creek bridge.  With proposed improvements, the existing two-lane Shiloh Road would transition to and become a four-lane divided roadway with a 20-foot raised concrete median and rural 6 1/2-foot outside paved shoulders.  The existing I-75 southbound on and off-ramps constructed under Project NH 75-1(203), P.I. No. 410500 would be tied to the proposed SR7 improvements.  The project would include a new bridge over I-75 and reconstruct the I-75 northbound on and off-ramps as a conventional diamond interchange. The I-75/SR7 interchange reconstruction on SR7 (N. Valdosta Road) ends just west of the existing signalized intersection at Coleman Road (CR553). The project would tie to the existing four-lane divided rural roadway with a forty-foot depressed grass median.   

"
0000807,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000807,Sapelo Island-Beach RD @ Dean Creek(Bt Reynolds Man.& Beach),PRE-CONSTRUCTION,This project is a bridge replacement on Sapelo Island Beach Road over Dean Creek in McIntosh County.  It is 0.04 miles long and replaces three existing 48 inch pipes with headwalls on a one-lane paved road with a new 140' x 18' bridge.  The existing pipes have failed and the road is currently closed.
0000821,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000821,SR 40 From SR 40 Conn To 0.36 MI E Of CR 82/May Bluff RD - TIA,PRE-CONSTRUCTION,"State Route (SR 40) is a major east-west corridor in southeast Georgia, connecting Folkston on the west with Kingsland, Interstate 95, and St. Mary¿s on the east.  At mile post (MP) 0.63 near the SR 40 Connector intersection with SR 40 the project would widen SR 40 from a two-lane to a five-lane rural section and then transition to a four-lane divided highway with a 24-foot raised median at mile post 1.51.  The four-lane section would extend eastward to Mile Post 2.54 (northeast of CR 82) in Charlton County for a total project length of 1.91 miles.  One Box Bridge Culvert identified as bridge # 049-0027-0 will be lengthened."
0000932,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000932,I-75 Upgrades @ SR 61,PRE-CONSTRUCTION,
