ID,URL,Status,Description_short,Description,Cost_estimate,Type,Manager
0000197,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000197,UNKNOWN,East Point - Main Street Streetscape,,125000.0,Enhancement,Ronda Jean Britt
0000265,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000265,COMPLETED-CONSTRUCTION,Ca - CR 1330/Hardscrabble RD From King RD To,"The City of Roswell is sponsoring this federally funded project for the construction of this portion of the Roswell Green Loop Path. This Phase 1 portion proposes the addition of a multi-use path between King Road and Etris Road. Sidewalks, pedestrian crossing, bike lanes, and some intersection improvements will be studied, in addition to the multi-use path.",6086889.85,Enhancement,Obi Ezenekwe
0000293,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000293,PRE-CONSTRUCTION,SR 206 From SR 32 In Douglas To CR 143/Moseley Road,,46196838.87,Reconstruction/Rehabilitation,Albert V. Shelby III
0000296,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000296,PRE-CONSTRUCTION,SR 52: Two Wb Passing Lanes Bt Gilmer And Lumpkin Counties,,38221734.08,Reconstruction/Rehabilitation,Albert V. Shelby III
0000297,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000297,COMPLETED-CONSTRUCTION,US 19/SR 3 - Widening & Reconstr,"This project proposes to widen the 4-lanes of US 19 to make them 12'. It also proposes to add a raised median. The project begins at the intersection of US 19 and County Road and ends at the intersection of US 19 and Atwater Road approximately 2 miles north of Thomaston. Also, as part of this project, Delray road will be realigned to intersect with US 19 and Jimmerson Road. A signal will be added at this location.",34881555.61,Reconstruction/Rehabilitation,Jason W. Mobley
0000304,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000304,COMPLETED-CONSTRUCTION,SR 66 - Bridge Replacement,This project consists of replacing a structurally deficient and obsolete two lane bridge. The proposed structure is 44' wide and 120' long. The centerline of the proposed roadway will be relocated to the east of the existing roadway utilizing the existing roadway during construction. The existing bridge will be removed after traffic is shifted to the new roadway. The existing roadway on the northwest side of the old bridge will be converted into recreational parking as per an agreement with GA DNR.,8223041.0,Replacement,Darrell Richardson
0000305,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000305,COMPLETED-CONSTRUCTION,SR 66 - Bridge Replacement,"The project will replace an existing structurally deficient two lane bridge on SR 66 at Crooked Creek, approximately 3.2 miles northwest of Young Harris, Georgia. The project begins approximately 1,383' south of Crooked Creek crossing and ends approximately 1,017' north of Crooked Creek crossing. The construction proposes replacing the existing 120' long by 27.5' wide bridge with a 180' long by 40' wide concrete bridge. The proposed bridge will be constructed approximately 30 feet west of the existing bridge site. Traffic will be maintained during construction of the new bridge and approaches utilizing stage construction. The project total length is 0.45 miles and is located in Land Lots 30 and 43 in Land District 17.",5539684.859999999,Replacement,Darrell Richardson
0000309,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000309,PRE-CONSTRUCTION,SR 48 Eb From Mp .75 - 1.55/ Wb From Mp 3.00 - 4.10,,3794850.62,Reconstruction/Rehabilitation,Albert V. Shelby III
0000315,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000315,COMPLETED-CONSTRUCTION,SR 52 - Construction Of Roundabout,SR 52 Relocation at the SR 183 Extension intersection safety improvement project was recommended by GDOT District One and was initially proposed due to poor sight distance and poor horizontal alignment at the existing intersection.,4051270.76,Reconstruction/Rehabilitation,David B. Lott
0000316,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000316,PRE-CONSTRUCTION,SR 52 Horizontal Correction @ Mp 6.4 To 6.6,,1181030.1600000001,Reconstruction/Rehabilitation,Albert V. Shelby III
0000397,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000397,PRE-CONSTRUCTION,SR 3/US 41 @ CR 1097 & CR 397 - Relocate Intersection,This project is to relocate the intersection of Old S.R. 293 and to add left and right turn lanes at the intersection with County Road 397.This is an Intersection Improvement Project.,817000.0,Reconstruction/Rehabilitation,Albert V. Shelby III
0000402,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000402,PRE-CONSTRUCTION,SR 15 Alt Eb & Wb Passing Lanes Bt Commerce & Jefferson,,24850946.92,Reconstruction/Rehabilitation,Albert V. Shelby III
0000405,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000405,PRE-CONSTRUCTION,SR 7/US 341 From SR 96/Peach To 4-Ln/Houston & Part New Loc,,54351253.0,Reconstruction/Rehabilitation,Albert V. Shelby III
