Status,District,total_projects,total_cost,average_cost
COMPLETED-CONSTRUCTION,1,41,271974401.81,6633521.995365853
COMPLETED-CONSTRUCTION,2,48,378992632.41999996,7895679.842083332
COMPLETED-CONSTRUCTION,3,36,242911978.91,6747554.969722223
COMPLETED-CONSTRUCTION,4,12,126035791.65,10502982.637500001
COMPLETED-CONSTRUCTION,5,20,134947905.53,6747395.2765
COMPLETED-CONSTRUCTION,6,19,246204187.11,12958115.111052632
COMPLETED-CONSTRUCTION,7,18,3091125198.8100004,171729177.7116667
COMPLETED-CONSTRUCTION,8,46,200754596.18,4364230.351739131
COMPLETED-CONSTRUCTION,9,34,448449232.04,13189683.295294119
COMPLETED-CONSTRUCTION,10,36,274596124.87,7627670.135277778
COMPLETED-CONSTRUCTION,11,21,280459817.21999997,13355229.39142857
COMPLETED-CONSTRUCTION,12,44,343923435.25,7816441.7102272725
COMPLETED-CONSTRUCTION,13,21,198886890.75,9470804.32142857
COMPLETED-CONSTRUCTION,14,17,234477591.72,13792799.512941176
PRE-CONSTRUCTION,1,240,9750765174.19,40628188.22579167
PRE-CONSTRUCTION,2,223,2353920237.09,10555696.13044843
PRE-CONSTRUCTION,3,194,2733587434.71,14090656.879948454
PRE-CONSTRUCTION,4,72,22640417616.84,314450244.67833334
PRE-CONSTRUCTION,5,98,7559507633.2300005,77137832.99214286
PRE-CONSTRUCTION,6,88,10120910452.1,115010346.04659091
PRE-CONSTRUCTION,7,75,1644796721.56,21930622.95413333
PRE-CONSTRUCTION,8,399,4459070394.96,11175615.024962407
PRE-CONSTRUCTION,9,162,3782239503.65,23347157.42993827
PRE-CONSTRUCTION,10,248,5374714192.11,21672234.645604838
PRE-CONSTRUCTION,11,130,2822046659.17,21708051.224384617
PRE-CONSTRUCTION,12,591,3590648081.72,6075546.669576988
PRE-CONSTRUCTION,13,61,1833353012.98,30054967.42590164
PRE-CONSTRUCTION,14,121,2818420354.7,23292730.20413223
UNDER-CONSTRUCTION,1,91,1207164754.7,13265546.754945055
UNDER-CONSTRUCTION,2,61,1010549992.91,16566393.326393442
UNDER-CONSTRUCTION,3,53,449627011.22,8483528.513584906
UNDER-CONSTRUCTION,4,20,1142664206.76,57133210.338
UNDER-CONSTRUCTION,5,47,643538286.85,13692303.975531915
UNDER-CONSTRUCTION,6,41,2018919010.4099998,49241927.08317073
UNDER-CONSTRUCTION,7,25,1083762870.89,43350514.8356
UNDER-CONSTRUCTION,8,98,766173405.96,7818095.979183674
UNDER-CONSTRUCTION,9,35,639101150.98,18260032.88514286
UNDER-CONSTRUCTION,10,56,859599837.76,15349997.102857143
UNDER-CONSTRUCTION,11,23,432672288.33000004,18811838.62304348
UNDER-CONSTRUCTION,12,137,814651611.6,5946362.128467154
UNDER-CONSTRUCTION,13,23,381905778.3,16604599.05652174
UNDER-CONSTRUCTION,14,32,368027693.5,11500865.421875
ALL,1,372,11229904330.7,30187914.86747312
ALL,2,332,3743462862.42,11275490.549457831
ALL,3,283,3426126424.84,12106453.798021201
ALL,4,104,23909117615.25,229895361.68509614
ALL,5,165,8337993825.610001,50533295.912787884
ALL,6,148,12386033649.62,83689416.55148649
ALL,7,118,5819684791.26,49319362.63779661
ALL,8,543,5425998397.1,9992630.565561695
ALL,9,231,4869789886.67,21081341.50073593
ALL,10,340,6508910154.74,19143853.396294117
ALL,11,174,3535178764.72,20317119.33747126
ALL,12,772,4749223128.57,6151843.430790155
ALL,13,105,2414145682.03,22991863.638380956
ALL,14,170,3420925639.9199996,20123091.99952941
ALL,ALL,3857,99776495153.45,25868938.333795696
COMPLETED-CONSTRUCTION,ALL,413,6473739784.27,15674914.73188862
PRE-CONSTRUCTION,ALL,2702,81484397469.01001,30157067.901188012
UNDER-CONSTRUCTION,ALL,742,11818357900.17,15927706.064919138
